"","date","ccg_id","name","items","cost","list_size","covid_period"
"74","2017-09-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","92456","1026360.52","6774929","pre-covid year 3"
"75","2017-09-01","Y62","NORTH WEST COMMISSIONING REGION","105214","1104080.84","7383647","pre-covid year 3"
"76","2017-09-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","131328","1338950.69","8877628","pre-covid year 3"
"77","2017-09-01","Y58","SOUTH WEST COMMISSIONING REGION","88483","905714.69","5723787","pre-covid year 3"
"78","2017-10-01","Y56","LONDON COMMISSIONING REGION","73644","809947.95","9749595","pre-covid year 3"
"79","2017-10-01","Y59","SOUTH EAST COMMISSIONING REGION","118244","1150650.55","9194706","pre-covid year 3"
"80","2017-10-01","Y60","MIDLANDS COMMISSIONING REGION","158468","1361328.47","10964243","pre-covid year 3"
"81","2017-10-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","98903","924411.93","6777482","pre-covid year 3"
"82","2017-10-01","Y62","NORTH WEST COMMISSIONING REGION","113895","959645.3","7398067","pre-covid year 3"
"83","2017-10-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","141915","1168141.89","8901208","pre-covid year 3"
"84","2017-10-01","Y58","SOUTH WEST COMMISSIONING REGION","95590","805193.12","5733869","pre-covid year 3"
"85","2017-11-01","Y56","LONDON COMMISSIONING REGION","75317","813601.58","9773510","pre-covid year 3"
"86","2017-11-01","Y59","SOUTH EAST COMMISSIONING REGION","121370","1177524.56","9206812","pre-covid year 3"
"87","2017-11-01","Y60","MIDLANDS COMMISSIONING REGION","162209","1416519.8","10975198","pre-covid year 3"
"88","2017-11-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","101218","956831.98","6787867","pre-covid year 3"
"89","2017-11-01","Y62","NORTH WEST COMMISSIONING REGION","117417","998608.7","7409265","pre-covid year 3"
"90","2017-11-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","143733","1195505.54","8912424","pre-covid year 3"
"91","2017-11-01","Y58","SOUTH WEST COMMISSIONING REGION","98018","810081.06","5745453","pre-covid year 3"
"92","2017-12-01","Y56","LONDON COMMISSIONING REGION","78770","803636.66","9797317","pre-covid year 3"
"93","2017-12-01","Y59","SOUTH EAST COMMISSIONING REGION","130766","1177980.41","9215380","pre-covid year 3"
"94","2017-12-01","Y60","MIDLANDS COMMISSIONING REGION","169587","1373933.98","10984521","pre-covid year 3"
"95","2017-12-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","109635","936346.66","6795178","pre-covid year 3"
"96","2017-12-01","Y62","NORTH WEST COMMISSIONING REGION","124546","971737.97","7415317","pre-covid year 3"
"97","2017-12-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","153382","1165972.77","8919726","pre-covid year 3"
"98","2017-12-01","Y58","SOUTH WEST COMMISSIONING REGION","104019","790886.08","5752688","pre-covid year 3"
"99","2018-01-01","Y56","LONDON COMMISSIONING REGION","80955","710929.04","9807573","pre-covid year 3"
"100","2018-01-01","Y59","SOUTH EAST COMMISSIONING REGION","133376","996747.92","9218456","pre-covid year 3"
"101","2018-01-01","Y60","MIDLANDS COMMISSIONING REGION","181016","1210506.39","10995171","pre-covid year 3"
"102","2018-01-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","112949","801567.13","6798714","pre-covid year 3"
"103","2018-01-01","Y62","NORTH WEST COMMISSIONING REGION","131099","858540.99","7417819","pre-covid year 3"
"104","2018-01-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","163777","1058288.72","8921069","pre-covid year 3"
"105","2018-01-01","Y58","SOUTH WEST COMMISSIONING REGION","107452","690893.13","5754594","pre-covid year 3"
"106","2018-02-01","Y56","LONDON COMMISSIONING REGION","68532","636299.39","9827857","pre-covid year 3"
"107","2018-02-01","Y59","SOUTH EAST COMMISSIONING REGION","108585","871570.51","9226453","pre-covid year 3"
"108","2018-02-01","Y60","MIDLANDS COMMISSIONING REGION","147735","1077738.02","11003504","pre-covid year 3"
"109","2018-02-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","92616","710925.35","6804492","pre-covid year 3"
"110","2018-02-01","Y62","NORTH WEST COMMISSIONING REGION","104034","749920.48","7422198","pre-covid year 3"
